study_signature_hash,coarsened_family,Community,Custom,GMD,Third-Party,regime,styles_present,total_records,qualifies_tier1
0bc0e933a2435166,True,1141,28,0,14,base,3,1183,True
88f32b360855c277,True,535,0,115,69,base,3,719,True
27921976e6aa8c7b,True,1444,0,0,4,base,2,1448,False
7142a112b1f469d5,False,431,0,0,0,base,1,431,False
f338460dceeef8df,True,421,0,0,0,base,1,421,False
ab412a37c3d4d8ef,False,203,0,0,0,base,1,203,False
db478e5ae829f6ef,True,146,4,0,0,base,2,150,False
d89a2f0fcf5e7fd1,True,133,0,0,2,base,2,135,False
dd62897753b7020f,True,98,0,0,0,base,1,98,False
8e241e6f08050c3f,False,86,0,2,0,base,2,88,False
1efa03f3076de5bd,False,60,0,0,0,base,1,60,False
94dc45940e1674e0,False,50,0,0,0,base,1,50,False
4e5001f22773682a,False,20,0,0,10,base,2,30,False
d76eb19ddc24cfb5,False,11,0,0,0,base,1,11,False
a5d11b8f5ac81ef5,True,7,0,0,0,base,1,7,False
99978bf1581eced7,False,2,0,0,0,base,1,2,False
5008e417e2ffd469,False,1,0,0,0,base,1,1,False
928a492c0fa7d818,False,1,0,0,0,base,1,1,False
0bc0e933a2435166,True,1232,32,0,14,first_attempt,3,1278,True
88f32b360855c277,True,595,0,115,69,first_attempt,3,779,True
27921976e6aa8c7b,True,1505,0,0,4,first_attempt,2,1509,False
7142a112b1f469d5,False,498,0,0,0,first_attempt,1,498,False
f338460dceeef8df,True,427,0,0,0,first_attempt,1,427,False
ab412a37c3d4d8ef,False,220,0,0,0,first_attempt,1,220,False
94dc45940e1674e0,False,212,0,0,0,first_attempt,1,212,False
db478e5ae829f6ef,True,192,5,0,0,first_attempt,2,197,False
dd62897753b7020f,True,136,0,0,0,first_attempt,1,136,False
d89a2f0fcf5e7fd1,True,133,0,0,2,first_attempt,2,135,False
8e241e6f08050c3f,False,101,0,3,0,first_attempt,2,104,False
1efa03f3076de5bd,False,67,0,0,0,first_attempt,1,67,False
928a492c0fa7d818,False,40,0,0,0,first_attempt,1,40,False
4e5001f22773682a,False,20,0,0,10,first_attempt,2,30,False
99978bf1581eced7,False,21,0,0,0,first_attempt,1,21,False
d76eb19ddc24cfb5,False,11,0,0,0,first_attempt,1,11,False
a5d11b8f5ac81ef5,True,7,0,0,0,first_attempt,1,7,False
9d971b82e7beae5b,False,3,0,0,0,first_attempt,1,3,False
5008e417e2ffd469,False,1,0,0,0,first_attempt,1,1,False
